iid,Name,Category,Description,Latitude,Longitude,Founded Year,Total Money Raised,Raised Amount,Currency,Address,Zip code,City
10873,52cdef7e4bab8bd67529aed9,Isai,finance,,,,2009.0,$33M,33000000.0,USD,10 bis avenue de la grande armee,75017,paris
10915,52cdef7e4bab8bd67529af0b,Zammr,network_hosting,Web applications,42.7904907,-86.0667227,2009.0,$0,0.0,0,955 est. 8th st.,49423,Holland
10937,52cdef7e4bab8bd67529af21,Interacto,web,Contact and media management,51.3673409,5.5858466,2009.0,$0,0.0,0,de Boelakkers 4,5591 TD,Heeze
10944,52cdef7e4bab8bd67529af26,Asurrent,web,Online Rent Payments,34.013247,-84.495636,2009.0,$0,0.0,0,2550 Sandy Plains Road,30066,Marietta
10945,52cdef7e4bab8bd67529af1f,Shutl,ecommerce,,51.5196135,-0.1020265,2009.0,£7.66M,7660000.0,GBP,"11 Curtain Road,",EC2A3LT,London
10967,52cdef7e4bab8bd67529af49,Ontology2,web,Specialized Web Communities,42.362886,-76.356869,2009.0,$0,0.0,0,472 Central Chapel Rd,14817,Brooktondale
10978,52cdef7e4bab8bd67529af59,Music For Busy People,games_video,Private Music Streaming and Sharing,40.727763,-73.976169,2009.0,$0,0.0,0,Avenue C,10009,New York City
10997,52cdef7e4bab8bd67529af76,Centillion,public_relations,"Graphic Design, Product Branding",43.5141923,16.4389264,2009.0,$0,0.0,0,GunduliÄ‡eva 26A,21000,Split
11000,52cdef7e4bab8bd67529af77,alteregoweb,web,Customized Programming,42.2674977,2.9608395,2009.0,$0,0.0,0,"Avda. Maria Àngels Anglada,",17600,"Figueres, Girona"
11021,52cdef7e4bab8bd67529af8e,Milabra,,,40.743616,-73.9880796,2009.0,$0,0.0,0,220 Fifth Ave.,10001,New York
11060,52cdef7e4bab8bd67529afb7,D-Modules,web,Widget Developing,,,2009.0,$0,0.0,0,,,
11065,52cdef7e4bab8bd67529afbb,kinDragon,software,Internet Centric Systems,27.4081935,-82.5294065,2010.0,$0,0.0,0,,34243,Sarasota
11082,52cdef7e4bab8bd67529afcc,HREF,web,Short URL service,,,2009.0,$0,0.0,0,"Ramon Fort 8, Block 2, 1C",,Madrid
11145,52cdef7e4bab8bd67529b019,CanvasGrafix,web,Wall Art Creation,38.675833,-90.482766,2009.0,$0,0.0,0,824 Montmartre Court,63141,St. Louis
11147,52cdef7e4bab8bd67529b015,VouChaCha,mobile,Location based Coupons,51.5001524,-0.1262362,2009.0,$0,0.0,0,,SE1 2NQ,London
11158,52cdef7e4bab8bd67529b028,mogamebo,mobile,Mobile Gaming,,,2009.0,$0,0.0,0,"g6,hexolabs,sidbi",208016,"Kanpur,up"
11205,52cdef7e4bab8bd67529b058,Carmony,web,Car Selection Service,,,2009.0,$0,0.0,0,,,
11236,52cdef7e4bab8bd67529b084,PerSquareFeet,web,Real Estate Portal,,,2009.0,$0,0.0,0,,560092,Bangalore
11239,52cdef7e4bab8bd67529b087,Travellr,web,,,,2009.0,$0,0.0,0,,,Sydney
11253,52cdef7e4bab8bd67529b0ad,Rouse Media,public_relations,MultiMedia Campaign consulting,52.4087359,-1.4761532,2009.0,$0,0.0,0,66 Druid Road,CV2 4AT,Coventry
11283,52cdef7e4bab8bd67529b0d1,Reflect7,mobile,Mobile Software Development,40.802858,-96.694751,2009.0,$0,0.0,0,1818 'D' STREET,68502,Lincoln
11297,52cdef7e4bab8bd67529b0e2,DediServe,network_hosting,Cloud Provider,,,2009.0,€1M,1000000.0,EUR,The Gasworks,,Belfast
11298,52cdef7e4bab8bd67529b0e2,DediServe,network_hosting,Cloud Provider,,,2009.0,€1M,1000000.0,EUR,13 Upper Baggot Street,,Dublin
11299,52cdef7e4bab8bd67529b0e2,DediServe,network_hosting,Cloud Provider,,,2009.0,€1M,1000000.0,EUR,2225 Bayshore Road,CA 94303,Palo Alto
11309,52cdef7e4bab8bd67529b0f2,Tinychat,web,"In-Browser Audio, Video Chat",42.3756409,-72.5196907,2009.0,$1.5M,1500000.0,USD,PO Box 431,11542,Glen Cove
11324,52cdef7e4bab8bd67529b100,Transifex,software,GitHub for Translations,37.4513629,-122.1842112,2009.0,$0,0.0,0,1050 Chestnut Street,94025,Menlo Park
11325,52cdef7e4bab8bd67529b103,CSRware,enterprise,Sustainability Resourceful Management,,,2009.0,$250k,250000.0,USD,"564 Market Street, Suite 607",94104,San Francisco
11326,52cdef7e4bab8bd67529b108,completelyprivatefiles,security,File Encryption,43.5408,-116.5625,2009.0,$0,0.0,0,P.O. Box 3114,83653-3114,Nampa
11391,52cdef7e4bab8bd67529b158,BASH Gaming,games_video,Social Mobile Casino Games,37.5561712,-122.0780632,2010.0,$1M,1000000.0,USD,,94555,Fremont
11392,52cdef7e4bab8bd67529b158,BASH Gaming,games_video,Social Mobile Casino Games,12.971606,77.594376,2010.0,$1M,1000000.0,USD,,,Bangalore
11398,52cdef7e4bab8bd67529b15b,Plupper,enterprise,,50.0528269,14.5120024,2009.0,$0,0.0,0,Mattioliho 3274/7,10600,Prague
11415,52cdef7e4bab8bd67529b16f,BidPlace SB,advertising,Self Service Banner Ads,39.274034,-76.5908291,2009.0,$0,0.0,0,1020 Hull St,21212,Baltimore
11422,52cdef7e4bab8bd67529b17c,imFORZA Marketing,advertising,Internet Marketing,33.92854,-118.397818,2009.0,$0,0.0,0,235 California Street,90245,El Segundo
11428,52cdef7e4bab8bd67529b186,Coralmap,,,,,2009.0,$0,0.0,0,5 J. GalvydÅ¾io gatvÄ—,LT-08236,Vilnius
11482,52cdef7e4bab8bd67529b1ce,Startup Revival,public_relations,Directory of Deadpooled Startups,37.775196,-122.419204,2009.0,$0,0.0,0,,,San Francisco
11487,52cdef7e4bab8bd67529b1d5,IamStocks,other,Links news to stock movement,25.8945858,-80.1622525,2009.0,$0,0.0,0,12864 Biscayne Blvd,33181,North Miami
11492,52cdef7e4bab8bd67529b1d9,Tech Profuse,ecommerce,Is an Information technology company,45.0062594,-93.0914376,2009.0,$0,0.0,0,"235, County Road,",55117,Little Canada
11493,52cdef7e4bab8bd67529b1d9,Tech Profuse,ecommerce,Is an Information technology company,,,2009.0,$0,0.0,0,"# 103, My Home Laxmi Nivas",500016,Hyderabad
11494,52cdef7e4bab8bd67529b1d9,Tech Profuse,ecommerce,Is an Information technology company,,,2009.0,$0,0.0,0,"Orion House,104-106, Cranbrook Road",IG1 4LZ,Ilford Essex
11504,52cdef7e4bab8bd67529b1e4,CitySpur,public_relations,A Premium Online Business Directory,33.487056,-111.909805,2009.0,$0,0.0,0,3370 N Hayden Rd,85251,Scottsdale
11526,52cdef7e4bab8bd67529b1f6,AppNeta,software,IT Performance Management,42.318138,-71.24756,2010.0,$55.8M,55799998.0,USD,285 Summer Street,02127,SOUTH BOSTON
11532,52cdef7e4bab8bd67529b208,GreenITers,cleantech,Japanese CleanTech News ,37.443,-122.159291,2009.0,$0,0.0,0,,0000,Tokyo
11552,52cdef7e4bab8bd67529b21e,AnyPrice,ecommerce,"OverStock, Rejects, Seconds & Used Stuff",,,2009.0,$0,0.0,0,16-11-310/6/1/1A,500036,Hyderabad
11560,52cdef7e4bab8bd67529b22a,AppZero,software,application migration software,42.6751888,-71.1469003,2009.0,$15.1M,15100000.0,USD,300 Brickston Sq.,01810,Andover
11564,52cdef7e4bab8bd67529b232,betterchange,consulting,Change management,50.5777223,8.675371,2009.0,$0,0.0,0,Riegelpfad 68,35392,GieÃŸen
11576,52cdef7e4bab8bd67529b23c,PebbleForge,software,PebbleForge IT Solutions and Service,9.9396253,76.2594981,2009.0,$0,0.0,0,,,"KOCHI, KERALA"
11578,52cdef7e4bab8bd67529b23f,TwitterCorp,web,List of CEOs and Companies using Twitter,46.0439,-118.378229,2009.0,$0,0.0,0,,99324,College Place
11592,52cdef7e4bab8bd67529b261,Action Sports Branding,ecommerce,Action Sports Online Marketing Agency,42.3983662,-71.0213788,2009.0,$0,0.0,0,60 Dudley Street,02150,Boston
11595,52cdef7e4bab8bd67529b266,RealUp,ecommerce,Commercial real estate listing website,35.7892464,-78.7252479,2009.0,$0,0.0,0,5995 Chapel Hill Rd,27607,Raleigh
11632,52cdef7e4bab8bd67529b291,Founder Institute,other,Start-Up Accelerator,,,2009.0,$0,0.0,0,548 Market St # 30380,94104,San Francisco
11660,52cdef7e4bab8bd67529b2a6,MyLikes,advertising,Advertising platform for the people web,37.777995,-122.408914,2010.0,$6.23M,6230000.0,USD,"1000 Brannan St, #502",94103,San Francisco
11661,52cdef7e4bab8bd67529b2ab,Clasilistados,advertising,Online Ads in USA for Spanish Speakers,37.515853,-122.3050823,2009.0,$0,0.0,0,P.O. Box 722,94002-0722,Belmont
11672,52cdef7e4bab8bd67529b2b3,The Vertical Action Group,consulting,Interim Executive Management,37.7983181,-122.4000032,2009.0,$0,0.0,0,,94111,San Francisco
11713,52cdef7e4bab8bd67529b2dc,Simulmedia,advertising,TV advertising company,40.727216,-73.994797,2009.0,$57.3M,57250008.0,USD,670 Broadway,10012,New York
11714,52cdef7e4bab8bd67529b2de,Topify,web,,,,2012.0,$0,0.0,0,,,
11715,52cdef7e4bab8bd67529b2d9,Cognitive Match,advertising,LET’S GET RELEVANT,51.5119418,-0.0936688,2009.0,$10.2M,10150000.0,USD,33/14 Great Saint Thomas Apostle,EC4V 2BB,London
11716,52cdef7e4bab8bd67529b2d9,Cognitive Match,advertising,LET’S GET RELEVANT,40.7454098,-73.9822211,2009.0,$10.2M,10150000.0,USD,475 Park Ave S,10016,New York
11717,52cdef7e4bab8bd67529b2d9,Cognitive Match,advertising,LET’S GET RELEVANT,37.380653,-122.1156934,2009.0,$10.2M,10150000.0,USD,4 West 4th St,94402,Palo Alto
11718,52cdef7e4bab8bd67529b2d9,Cognitive Match,advertising,LET’S GET RELEVANT,41.2601663,-96.0791435,2009.0,$10.2M,10150000.0,USD,10824 Old Mill Road,68154,Omaha
11724,52cdef7e4bab8bd67529b2f0,Tenant Txt,mobile,Contact tenants by text and emails,29.733947,-95.5393869,2009.0,$0,0.0,0,,77063,Houston
11728,52cdef7e4bab8bd67529b2f3,4shared,network_hosting,Online File Storage,,,2011.0,$0,0.0,0,"Graigmuir Chambers, Road Town",,Tortola
11738,52cdef7e4bab8bd67529b308,VideoCustomizer,public_relations,create video ads ,40.778334,-73.9453758,2009.0,$0,0.0,0,1702,10154,New York
11739,52cdef7e4bab8bd67529b308,VideoCustomizer,public_relations,create video ads ,,,2009.0,$0,0.0,0,,,
11741,52cdef7e4bab8bd67529b306,rent2friend,web,Renting Portal,51.5001524,-0.1262362,2009.0,$0,0.0,0,,,London
11744,52cdef7e4bab8bd67529b30a,Wolfram Alpha,web,Computational Knowledge Engine,40.097071,-88.245638,2009.0,$0,0.0,0,100 Trade Center Drive,61820-7237,Champaign
11765,52cdef7e4bab8bd67529b32d,Gridstore,network_hosting,Hyper-V Software Defined Storage,37.4189073,-122.0884286,2009.0,€25M,25000000.0,EUR,1975 Lndings Drive,94043,Mountain View
11778,52cdef7e4bab8bd67529b33c,VitalLock,web,Secure Messaging Escrow Platform,42.362856,-71.083762,2009.0,$0,0.0,0,One Broadway,02142,Cambridge
11802,52cdef7e4bab8bd67529b360,MYiLIVE,ecommerce,Local Shopping Marketplace,,,2009.0,$0,0.0,0,,,
11814,52cdef7e4bab8bd67529b373,Honk,web,social car shopping and buying online ,,,2009.0,$0,0.0,,625 Second Street,94107,San Francisco
11847,52cdef7e4bab8bd67529b386,OBE Pro,software,Home Business Software,28.1524632,-80.5883964,2009.0,$0,0.0,0,1010 Pinetree Dr,32937,Indian Harbour Beach
11875,52cdef7e4bab8bd67529b3a4,Harkopen,cleantech,Open source hardware community,,,2009.0,$0,0.0,0,Aleea Ilioara nr 10,032125,Bucharest
11879,52cdef7e4bab8bd67529b3a8,Taggify,advertising,Monetize websites through ads in content,,,2011.0,$1M,1000000.0,USD,Concepcion Arenal 3425,1414,Buenos Aires
11890,52cdef7e4bab8bd67529b3b7,Tweetizen,other,Create and share Twitter Groups,49.2685125,-123.1783566,2009.0,$0,0.0,0,3333 W4th Ave,,Vancouver
11894,52cdef7e4bab8bd67529b3ba,Internet Marketing Academy Australia,other,De-mystifying Internet Marketing,-37.839941,144.976425,2009.0,$100k,100000.0,USD,458 St Kilda Road,3004,Melbourne
11904,52cdef7e4bab8bd67529b3be,thredUP,fashion,Fashion resale online,,,2009.0,$25.8M,25820000.0,USD,580 Market Street,94104,San Francisco
11914,52cdef7e4bab8bd67529b3cb,IndiMedicos,other,Community for doctors,12.971606,77.594376,2009.0,$0,0.0,0,,,Bangalore
11937,52cdef7e4bab8bd67529b3da,IrishCentral,public_relations,Irish community website,40.74828,-73.989276,2009.0,$0,0.0,0,875 Sixth Avenue,10001,New York
11950,52cdef7e4bab8bd67529b3e7,Cloudkick,enterprise,Cloud Management Tool,,,2009.0,$2.75M,2750000.0,USD,,,San Francisco
11951,52cdef7e4bab8bd67529b3ed,Blippitt,news,Viral Videos & More,39.4157,-76.6096,2009.0,$0,0.0,0,P.O. Box 19071,21284,Baltimore
11970,52cdef7e4bab8bd67529b40c,Cuteness Pet Community,web,Pet Community,33.989029,-118.462421,2009.0,$0,0.0,0,,,Venice
11974,52cdef7e4bab8bd67529b40d,yiid,web,Social Media Monitor and Identity Hub,49.5507557,8.6759098,2009.0,$0,0.0,0,Grundelbachstr. 84,69469,Weinheim
12001,52cdef7e4bab8bd67529b43e,Mashed jobs,web,Online Marketplace for Job searches,42.3584308,-71.0597732,2009.0,$0,0.0,,Boston,,
12008,52cdef7e4bab8bd67529b449,Memetales,games_video,,,,2010.0,$100k,100000.0,USD,,98007,Bellevue
12009,52cdef7e4bab8bd67529b438,Foursquare,mobile,Location based mobile network,,,2009.0,$147M,147350000.0,USD,568 Broadway,10012,New York
12010,52cdef7e4bab8bd67529b438,Foursquare,mobile,Location based mobile network,,,2009.0,$147M,147350000.0,USD,363 Clementina St,94013,San Francisco
12024,52cdef7e4bab8bd67529b462,Guias Local,search,Local Search,28.7029,-81.3387,2009.0,$0,0.0,0,P.O. Box 916533,32791,Longwood
12049,52cdef7e4bab8bd67529b482,StoreBlogs,other,Business Blogs by StoreBlogs.com,47.6859063,-122.141024,2009.0,$0,0.0,0,14953 NE 95th Street,98052,Redmond
12050,52cdef7e4bab8bd67529b480,PathMotion,web,Stealth,48.8704331,2.3449804,2009.0,$0,0.0,0,14-16 rue Soleillet,75020,Paris
12081,52cdef7e4bab8bd67529b4b5,Telegram Stop,web,On-line Telegrams,,,2009.0,$0,0.0,0,Stop 268 Victoria Rd  VIC 3071,VIC 3071,Thornbury
12086,52cdef7e4bab8bd67529b4bd,Fotomina,web,Online stock photography microstock,60.123399,24.4280745,2009.0,$0,0.0,0,EerikintÃ¶rmÃ¤ 2 C 26,02400,Kirkkonummi
12098,52cdef7e4bab8bd67529b4ca,IBWIRE Inc,advertising,Press Release Distribution,37.7944822,-122.4030739,2009.0,$0,0.0,0,550 Montgomery street #208,94111,San Francisco
12120,52cdef7e4bab8bd67529b4eb,Setster,software,Online Calendar and Appointment App,34.0909811,-118.325739,2009.0,$0,0.0,0,,90038,Hollywood
12131,52cdef7e4bab8bd67529b501,GameChanger Media,software,Digital platform for amateur sports.,40.7078343,-74.0136605,2009.0,$3.64M,3637657.0,USD,86 Chambers St,10007,New York
12169,52cdef7e4bab8bd67529b52e,Z2Live,games_video,Mobile Games,47.6103008,-122.3399782,2009.0,$6.5M,6499999.0,USD,1601 2nd Ave,98101,Seattle
12182,52cdef7e4bab8bd67529b543,Gate 53|10 Technologies,web,Enhanced web browsing,53.5736401,10.0184565,2009.0,€141k,141000.0,,Arndtstr 18-20,22085,Hamburg
12183,52cdef7e4bab8bd67529b544,Yazzem,,,,,2009.0,$0,0.0,0,,,
12184,52cdef7e4bab8bd67529b544,Yazzem,,,,,2009.0,$0,0.0,0,,,
12191,52cdef7e4bab8bd67529b54e,Y Media Labs,mobile,"iOS, Android, Blackberry App Development",37.494561,-122.229097,2009.0,$0,0.0,0,370 Convention Way,94063,Redwood City
12212,52cdef7e4bab8bd67529b557,PunchT,web,Time tracking app,54.6893865,25.2800243,2009.0,$0,0.0,0,,,Vilnius
12221,52cdef7e4bab8bd67529b567,RockDex,web,Music Social Web Measurement,41.259751,-95.942336,2009.0,$0,0.0,0,,,Omaha
12222,52cdef7e4bab8bd67529b567,RockDex,web,Music Social Web Measurement,,,2009.0,$0,0.0,0,,,Kansas City
12223,52cdef7e4bab8bd67529b56a,Colligent,,,,,2009.0,$0,0.0,0,9266 227th Avenue NE,98053,Redmond
12231,52cdef7e4bab8bd67529b572,Tongal,web,Creative Network,34.007112,-118.489748,2009.0,$16M,16000000.0,USD,1918 Main Street,90405,Santa Monica
12249,52cdef7e4bab8bd67529b58d,Pict,ecommerce,Image hosting,,,2012.0,$1.4M,1400000.0,USD,,94105,San Francisco
12254,52cdef7e4bab8bd67529b599,Rhyme Library,mobile,Old School Hip Hop Downloads,38.2571486,-85.7617724,2009.0,$0,0.0,0,720 West Main St,40202,Louisville
12258,52cdef7e4bab8bd67529b591,oneforty,enterprise,Social business hub,42.364014,-71.101375,2009.0,$2.35M,2345000.0,USD,"614 Massachusetts Ave, Suite 203",02139,Cambridge
12300,52cdef7e4bab8bd67529b5db,Earthenhive Architects,other,Architects and Interior Designs,13.014823,77.6503104,2009.0,$0,0.0,0,"No.37 SriBhooma, 17th cross,",560055,Bangalore
12301,52cdef7e4bab8bd67529b5dc,Blog Traffic Exchange,web,Increase Relevant Blog Traffic,37.4484914,-122.1802812,2009.0,$0,0.0,0,,94025,Menlo Park
12337,52cdef7e4bab8bd67529b5fc,Chartbeat,analytics,Realtime Web analytics,40.73343,-73.990967,2009.0,$14.5M,14475000.0,USD,826 Broadway,10003,New York
12338,52cdef7e4bab8bd67529b608,TweetPhoto,web,Real-time photo sharing platform,,,2009.0,$2.6M,2600000.0,USD,,,San Diego
12343,52cdef7e4bab8bd67529b614,crush tweet,software,twitter api startup,32.920073,-96.740444,2009.0,$0,0.0,0,9221 amberton pkwy #238,75243,dallas
12344,52cdef7e4bab8bd67529b613,Aigc middleast,public_relations,integrated communication,32.920073,-96.740444,2009.0,$0,0.0,0,9221 amberton pkwy,75243,dallas
12345,52cdef7e4bab8bd67529b613,Aigc middleast,public_relations,integrated communication,,,2009.0,$0,0.0,0,20629,111181,Amman
12358,52cdef7e4bab8bd67529b625,One Kings Lane,ecommerce,Private Home Decor Sales,,,2009.0,$113M,113000000.0,,1355 Market St,94103,San Francisco
12359,52cdef7e4bab8bd67529b625,One Kings Lane,ecommerce,Private Home Decor Sales,,,2009.0,$113M,113000000.0,,205 Hudson Street,10013,New York
12360,52cdef7e4bab8bd67529b625,One Kings Lane,ecommerce,Private Home Decor Sales,,,2009.0,$113M,113000000.0,,9560 Wilshire Boulevard,90212,Beverly Hills
12364,52cdef7e4bab8bd67529b635,Eggosbase,ecommerce,Online Classifieds,,,2009.0,$0,0.0,0,Virginia USA,,
12370,52cdef7e4bab8bd67529b640,Trigora,web,Business Software Comparisons,-37.742893,145.065044,2009.0,$0,0.0,0,PO Box 691,3084,Rosanna
12373,52cdef7e4bab8bd67529b643,Talent Spree,web,social network focused on talents,38.765172,-75.211743,2009.0,$0,0.0,0,16192 Coastal Highway,19958,Lewes
12381,52cdef7e4bab8bd67529b64c,Novelion Media,enterprise,Video Digitization and Archiving ,61.0626853,28.0978108,2009.0,$0,0.0,0,Laserkatu 6,53850,Lappeenranta
12391,52cdef7e4bab8bd67529b653,RipCloud,network_hosting,Wordpress Cloud Hosting Experts,37.7581148,-122.4184108,2012.0,$0,0.0,0,,,
12405,52cdef7e4bab8bd67529b666,Weebiz,ecommerce,World wide business community ,39.7366963,-8.7985658,2009.0,$0,0.0,0,Rua Miguel Torga nÂº 137,2410-134,Leiria
12415,52cdef7e4bab8bd67529b675,Brandsclub,ecommerce,Private Sales Club,-23.5489433,-46.6388182,2009.0,$17M,17000000.0,USD,,,Sao Paulo
12418,52cdef7e4bab8bd67529b67b,Search PDF Books,search,PDF Books Search Tool,,,2009.0,$0,0.0,0,,,
12426,52cdef7e4bab8bd67529b68c,CineSoft,software,software development ,55.7794043,37.6899674,2009.0,$0,0.0,0,Perevedenovsky pereulok 18,105082,Moscow
12440,52cdef7e4bab8bd67529b681,Plug in SEO,enterprise,simplifying search engine optimisation,51.5001524,-0.1262362,2012.0,$0,0.0,0,,,London
12467,52cdef7e4bab8bd67529b6b9,CoTweet,advertising,Enterprise client for Twitter,37.7405936,-122.3764714,2009.0,$1.1M,1100000.0,USD,Pier 38,94107,San Francisco
12470,52cdef7e4bab8bd67529b6c0,Antelink,software,,48.8524775,2.3660117,2009.0,$0,0.0,0,18 rue Yves Toudic,75010,Paris 10Ã¨me
12492,52cdef7e4bab8bd67529b6d1,MyHandle,public_relations,S.P.O.C. & Email Handling,49.1856229,-2.1077539,2009.0,$0,0.0,0,18-20 Dumaresq Street,JE2 3RL,Jersey
12533,52cdef7e4bab8bd67529b708,HD Cloud,other,Video technology service provider,40.7391853,-73.9897456,2009.0,$0,0.0,0,"900 Broadway, Suite 900",10003,New York
12534,52cdef7e4bab8bd67529b709,VetAnyware,enterprise,Veterinary Business Software Solutions,38.552782,-121.734779,2009.0,$0,0.0,0,,95618,Davis
12566,52cdef7e4bab8bd67529b721,Novira Therapeutics,biotech,antiviral therapeutics,,,2009.0,$44M,43995221.0,USD,"259 N. RADNOR-CHESTER ROAD, SUITE 220",19087,Radnor
12582,52cdef7e4bab8bd67529b744,Insurance4everyone,web,UK Insurance Retailer,,,2009.0,$0,0.0,0,Temple House,BN7 2SD,Lewes
12599,52cdef7e4bab8bd67529b753,Twazzup,web,Real-time Monitoring and Analytics for T,37.775196,-122.419204,2009.0,$0,0.0,0,,,San Francisco
12601,52cdef7e4bab8bd67529b751,Wowd,search,Real-Time Search,37.448598,-122.158497,2009.0,$0,0.0,0,261 Hamilton Ave. Suite 208,94301,Palo Alto
12648,52cdef7e4bab8bd67529b79a,We Are Hunted,games_video,Online Music Chart,,,2009.0,$3M,3000000.0,USD,,,
12666,52cdef7e4bab8bd67529b7ae,Serpslogic,other,SEO and Internet marketing,,,2009.0,$0,0.0,0,,110067,New Delhi
12670,52cdef7e4bab8bd67529b7b4,BlazingStreams,web,real time news,37.555111,-122.265123,2009.0,$0,0.0,0,,,Foster City
12671,52cdef7e4bab8bd67529b7b5,Compel Interaction,consulting,Web Developers,42.281569,-83.813914,2009.0,$0,0.0,0,167 Little Lake Dr.,48103,Ann Arbor
12672,52cdef7e4bab8bd67529b7b5,Compel Interaction,consulting,Web Developers,41.875026,-87.628933,2009.0,$0,0.0,0,537 S Dearborn Street,60605,Chicago
12673,52cdef7e4bab8bd67529b7b5,Compel Interaction,consulting,Web Developers,44.7871116,-85.6378062,2009.0,$0,0.0,0,13056 S. West Bay Shore Dr.,49684,Traverse City
12682,52cdef7e4bab8bd67529b7bb,DataXu,advertising,Buy-side Ad Optimization,,,2009.0,$45.8M,45800000.0,USD,281 Summer Street,02210,Boston
12683,52cdef7e4bab8bd67529b7bb,DataXu,advertising,Buy-side Ad Optimization,,,2009.0,$45.8M,45800000.0,USD,"44 W 28th Street, 8th Floor",10001,New York
12684,52cdef7e4bab8bd67529b7bb,DataXu,advertising,Buy-side Ad Optimization,,,2009.0,$45.8M,45800000.0,USD,549 W Randolph St.,60661,Chicago
12688,52cdef7e4bab8bd67529b7c9,psychiatryRounds,web,Professional network for psychiatrists,37.400465,-122.073003,2009.0,$0,0.0,0,,,Mountain View
12691,52cdef7e4bab8bd67529b7c7,Tweenjo,web,UK community site,51.5137747,-0.1459893,2009.0,$0,0.0,0,72 New Bond Street,W1S 1RR,London
12692,52cdef7e4bab8bd67529b7cf,Shopseen,ecommerce,Sell better.,37.772323,-122.214897,2013.0,$0,0.0,0,,94103,San Francisco
12705,52cdef7e4bab8bd67529b7e7,Atenea tech,software,drupal development consulting,,,2009.0,$0,0.0,0,Citilab CornellÃ  - Pl Can Suris s/n,08940,CornellÃ  de Llobregat
12736,52cdef7e4bab8bd67529b80b,Mobile Roadie,mobile,"iPhone, Android & iPad, Mobile Web",,,2009.0,$0,0.0,0,8671 Wilshire Blvd.,90211,Beverly Hills
12737,52cdef7e4bab8bd67529b80b,Mobile Roadie,mobile,"iPhone, Android & iPad, Mobile Web",,,2009.0,$0,0.0,0,1-3 Rivington St.,EC2A 3DT,London
12744,52cdef7e4bab8bd67529b825,Space Spare,web,Directory for Storage Space,51.5603951,-0.1365725,2009.0,$0,0.0,0,3 Monnery Road,N19 5SA,London
12762,52cdef7e4bab8bd67529b839,Webteilchen,web,Web Services & Online Marketing,52.5296736,13.6281888,2009.0,$0,0.0,0,Greifswalder Str. 4,10779,Berlin
12773,52cdef7e4bab8bd67529b849,MyEdu,education,"Succeed in college, and get a job.",30.288159,-97.750154,2009.0,$18.7M,18700000.0,USD,1301 S. MoPac Expy,78746,Austin
12792,52cdef7e4bab8bd67529b867,Gameleaper,games_video,Used video game marketplace,32.8270045,-96.8432224,2009.0,$0,0.0,0,6400 Maple Ave,75235,Dallas
12802,52cdef7e4bab8bd67529b877,AlertFox,software,Next-gen web application monitoring,,,2009.0,$0,0.0,0,Postfach 1343,69184,Walldorf/Heidelberg
12814,52cdef7e4bab8bd67529b896,Catchafire,web,Changing the way people volunteer.,40.746417,-73.983171,2009.0,$400k,399984.0,USD,31 East 32nd Street,10016,New York
12826,52cdef7e4bab8bd67529b8a7,Ikanos,enterprise,Broadband Chip Manufacturer,37.4734314,-121.9417078,2009.0,$42M,42000000.0,USD,47669 Fremont Blvd.,94538,Fremont
12827,52cdef7e4bab8bd67529b8aa,quoobs,web,"social, local, mobile services",52.5189904,13.4663753,2009.0,$0,0.0,0,SamariterstraÃŸe 17,10247,Berlin
12828,52cdef7e4bab8bd67529b8ab,Veewow,software,World's Leading App Discovery Site,,,2012.0,$0,0.0,0,Daresbury Innovation Centre,WA4 4FS,Daresbury
12842,52cdef7e4bab8bd67529b8bb,Hayen Company,games_video,Social Media Marketing,34.019114,-81.004871,2011.0,$0,0.0,0,1825 Saint Julian Pl.,29204,Columbia
12844,52cdef7e4bab8bd67529b8be,1calendar,software,Personalized autoupdated calendar system,55.6770321,12.5751278,2009.0,$40k,40000.0,USD,"Kompagnistræde 20B, 1 th.",1208,Copenhagen
12845,52cdef7e4bab8bd67529b8be,1calendar,software,Personalized autoupdated calendar system,55.6802318,12.524884,2009.0,$40k,40000.0,USD,"Howitzvej 60, 5. sal",2000,Copenhagen
12856,52cdef7e4bab8bd67529b8c0,Infochimps,enterprise,Big Data Solutions,30.2734822,-97.7588828,2009.0,$5.35M,5350000.0,USD,1214 W 6th St,78703,Austin
12857,52cdef7e4bab8bd67529b8c0,Infochimps,enterprise,Big Data Solutions,,,2009.0,$5.35M,5350000.0,USD,425 Broadway,94063,Redwood City
12876,52cdef7e4bab8bd67529b8e8,printium,enterprise,Global Publishing Platform,52.4055581,13.0673441,2009.0,$0,0.0,0,Behlertstrasse 3a,14467,Potsdam
12890,52cdef7e4bab8bd67529b8fa,Envy Sportswear,ecommerce,women's fitness apparel,,,2009.0,$0,0.0,0,1760 Kettner Blvd.,92101,San Diego
12892,52cdef7e4bab8bd67529b8f7,Insignia Technologies,hospitality,,,,2012.0,£865k,865000.0,GBP,,ML1 5UH,North Lanarkshire
12896,52cdef7e4bab8bd67529b8fe,YesFreelance,ecommerce,Online Freelance Staffing Marketplace,41.8819283,-87.6445473,2009.0,$0,0.0,0,,60661,Chicago
12930,52cdef7e4bab8bd67529b92d,BIT TV,games_video,Live Video Streaming,45.488419,-122.642156,2009.0,$0,0.0,0,4701 se 24th st.,97202,Portland
